ID=4     : size=77977     : <:*:> <:*:> <:DATE:> <:*:> <:*:> INFO nova.osapi compute.wsgi.server <:*:> - -] <:IP:> <:*:> <:*:> HTTP/1.1" status: <:*:> len: <:*:> time: <:*:>
ID=11    : size=18761     : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO <:*:> <:*:> - - - - -] <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>
ID=2     : size=18153     : <:*:> <:*:> <:DATE:> <:*:> 2931 <:*:> nova.virt.libvirt.imagecache [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] <:*:> base <:*:> /var/lib/nova/instances/ base/<:SEQ:>
ID=12    : size=12043     : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO nova.virt.libvirt.imagecache [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/ base/<:SEQ:>): in use: on this node 1 local, 0 on other nodes sharing this instance storage
ID=6     : size=11214     : nova-compute.log.1.<:DATE:> <:*:> <:DATE:> <:*:> 2931 INFO nova.compute.claims <:*:> - -] [instance: <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>
ID=18    : size=7093      : <:*:> <:*:> <:DATE:> <:*:> <:*:> INFO nova.metadata.wsgi.server <:*:> - - - - -] <:IP:>,<:IP:> "GET <:*:> <:*:> HTTP/1.1" status: <:*:> len: <:*:> time: <:*:>
ID=7     : size=6195      : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO <:*:> <:*:> - -] [instance: <:*:> <:*:> <:*:>
ID=21    : size=4927      : <:*:> <:*:> <:DATE:> <:*:> <:*:> INFO nova.metadata.wsgi.server [-] <:IP:>,<:IP:> "GET <:*:> HTTP/1.1" status: 200 len: <:*:> time: <:*:>
ID=20    : size=4269      : <:*:> <:*:> <:DATE:> <:*:> <:*:> INFO nova.metadata.wsgi.server [-] <:IP:>,<:IP:> "GET <:*:> <:*:> HTTP/1.1" status: <:*:> len: <:*:> time: <:*:>
ID=15    : size=4130      : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO nova.virt.libvirt.driver [-] [instance: <:*:> Instance <:*:> successfully.
ID=16    : size=4130      : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO nova.compute.manager <:*:> - -] [instance: <:*:> Took <:*:> seconds to <:*:> the instance on the hypervisor.
ID=22    : size=4128      : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO nova.virt.libvirt.driver <:*:> - -] [instance: <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>
ID=19    : size=4114      : <:*:> <:*:> <:DATE:> <:*:> <:*:> INFO nova.metadata.wsgi.server <:*:> - - - - -] <:IP:>,<:IP:> "GET <:*:> HTTP/1.1" status: 200 len: <:*:> time: <:*:>
ID=13    : size=3984      : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO nova.compute.manager [req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -] [instance: <:*:> During sync power state the instance has a pending task (spawning). Skip.
ID=9     : size=3478      : <:*:> <:*:> <:DATE:> <:*:> 2931 INFO nova.compute.resource tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>
